"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_1_F6",45,"Plate_1","F6","61217_001_C12_D29_F6","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F7",53,"Plate_1","F7","61217_001_C12_D29_F7","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F8",61,"Plate_1","F8","61217_001_C12_D29_F8","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_F9",69,"Plate_1","F9","61217_001_C12_D29_F9","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G10",78,"Plate_1","G10","61217_001_C12_D29_G10","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G11",86,"Plate_1","G11","61217_001_C12_D29_G11","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G12",94,"Plate_1","G12","61217_001_C12_D29_G12","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G1",6,"Plate_1","G1","61217_001_C12_D29_G1","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G2",14,"Plate_1","G2","61217_001_C12_D29_G2","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G3",22,"Plate_1","G3","61217_001_C12_D29_G3","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G4",30,"Plate_1","G4","61217_001_C12_D29_G4","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G5",38,"Plate_1","G5","61217_001_C12_D29_G5","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G6",46,"Plate_1","G6","61217_001_C12_D29_G6","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G7",54,"Plate_1","G7","61217_001_C12_D29_G7","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G8",62,"Plate_1","G8","61217_001_C12_D29_G8","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_G9",70,"Plate_1","G9","61217_001_C12_D29_G9","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H10",79,"Plate_1","H10","61217_001_C12_D29_H10","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H11",87,"Plate_1","H11","61217_001_C12_D29_H11","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H12",95,"Plate_1","H12","61217_001_C12_D29_H12","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H1",7,"Plate_1","H1","61217_001_C12_D29_H1","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H2",15,"Plate_1","H2","61217_001_C12_D29_H2","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H3",23,"Plate_1","H3","61217_001_C12_D29_H3","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H4",31,"Plate_1","H4","61217_001_C12_D29_H4","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H5",39,"Plate_1","H5","61217_001_C12_D29_H5","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H6",47,"Plate_1","H6","61217_001_C12_D29_H6","61217_001","C12_D29","61217_001_C12_D29",FALSE
"Plate_1_H7",55,"Plate_1","H7","61217_001_C12_D29_H7","61217_001","C12_D29","61217_001_C12_D29",FALSE
