Sample	Top over-represented sequence	Sum of remaining over-represented sequences
qc | fastqc-novaseq | Plate_1_A3_22NG7YLT3_S145_L008_R2_001	3.64862037009357	30.50556535429931
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R1_001	2.151823794507473	32.81621902449044
qc | fastqc-novaseq | Plate_1_A4_22NG7YLT3_S217_L008_R2_001	3.7169403264586127	30.77845034856888
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R1_001	4.003814061341764	29.85485025691061
qc | fastqc-novaseq | Plate_1_A5_22NG7YLT3_S289_L008_R2_001	3.9743532885191684	29.297946615812506
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R1_001	4.690779892842927	31.19423023194289
qc | fastqc-novaseq | Plate_1_A6_22NG7YLT3_S361_L008_R2_001	4.287519192588508	30.448037225586166
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R1_001	3.0606664951106537	24.325302367472972
qc | fastqc-novaseq | Plate_1_A7_22NG7YLT3_S433_L008_R2_001	4.552399639732372	21.068418682449817
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R1_001	3.9174894552933	22.12436565139153
qc | fastqc-novaseq | Plate_1_A8_22NG7YLT3_S500_L008_R2_001	3.4952251282978986	21.02038484609013
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R1_001	4.221749699316421	30.12697220516516
qc | fastqc-novaseq | Plate_1_A9_22NG7YLT3_S564_L008_R2_001	4.3095442296664315	30.124942273827575
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R1_001	6.126954811113885	26.942779193199577
qc | fastqc-novaseq | Plate_1_B10_22NG7YLT3_S629_L008_R2_001	5.725690256249831	26.483159823010443
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R1_001	5.96980431210895	33.13877998663759
qc | fastqc-novaseq | Plate_1_B11_22NG7YLT3_S693_L008_R2_001	5.655283404977708	32.38094637807221
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R1_001	5.318337735600999	26.092579091419754
qc | fastqc-novaseq | Plate_1_B12_22NG7YLT3_S757_L008_R2_001	6.009155123163896	29.203408669877735
qc | fastqc-novaseq | Plate_1_B1_22NG7YLT3_S2_L008_R1_001	5.07280729237578	13.454380822245882
qc | fastqc-novaseq | Plate_1_B1_22NG7YLT3_S2_L008_R2_001	5.018839512288743	14.181223477460659
qc | fastqc-novaseq | Plate_1_B2_22NG7YLT3_S74_L008_R1_001	6.82950619792725	30.12273928063403
qc | fastqc-novaseq | Plate_1_B2_22NG7YLT3_S74_L008_R2_001	6.589717537085958	29.40743751270069
qc | fastqc-novaseq | Plate_1_B3_22NG7YLT3_S146_L008_R1_001	5.869022187560047	32.28819338479913
qc | fastqc-novaseq | Plate_1_B3_22NG7YLT3_S146_L008_R2_001	5.3515385108074405	31.609455238698057
qc | fastqc-novaseq | Plate_1_B4_22NG7YLT3_S218_L008_R1_001	3.082229010041757	31.75207453622685
qc | fastqc-novaseq | Plate_1_B4_22NG7YLT3_S218_L008_R2_001	5.745394241816426	30.50404888935308
qc | fastqc-novaseq | Plate_1_B5_22NG7YLT3_S290_L008_R1_001	5.825984664394089	31.047088724980885
qc | fastqc-novaseq | Plate_1_B5_22NG7YLT3_S290_L008_R2_001	5.895535844617512	30.108147791964697
qc | fastqc-novaseq | Plate_1_B6_22NG7YLT3_S362_L008_R1_001	5.9754477967717765	29.443701900156647
qc | fastqc-novaseq | Plate_1_B6_22NG7YLT3_S362_L008_R2_001	5.652157256691412	29.340691616154736
qc | fastqc-novaseq | Plate_1_B7_22NG7YLT3_S434_L008_R1_001	6.132030189300261	30.551809575182965
qc | fastqc-novaseq | Plate_1_B7_22NG7YLT3_S434_L008_R2_001	10.600997472034669	26.20398348822645
qc | fastqc-novaseq | Plate_1_B8_22NG7YLT3_S501_L008_R1_001	4.9825599484713345	22.753399308948204
qc | fastqc-novaseq | Plate_1_B8_22NG7YLT3_S501_L008_R2_001	4.508212381071949	21.71900501640292
qc | fastqc-novaseq | Plate_1_B9_22NG7YLT3_S565_L008_R1_001	4.787824459972867	7.244981755941726
qc | fastqc-novaseq | Plate_1_B9_22NG7YLT3_S565_L008_R2_001	5.032532479838285	7.849757999260009
qc | fastqc-novaseq | Plate_1_C10_22NG7YLT3_S630_L008_R1_001	4.340840944471284	28.301546767279415
qc | fastqc-novaseq | Plate_1_C10_22NG7YLT3_S630_L008_R2_001	4.07358839272705	27.531997454007257
qc | fastqc-novaseq | Plate_1_C11_22NG7YLT3_S694_L008_R1_001	4.752994674168834	29.881495833112147
qc | fastqc-novaseq | Plate_1_C11_22NG7YLT3_S694_L008_R2_001	4.620291239803953	29.64373551320844
qc | fastqc-novaseq | Plate_1_C12_22NG7YLT3_S758_L008_R1_001	4.523821719124816	24.27480557618597
qc | fastqc-novaseq | Plate_1_C12_22NG7YLT3_S758_L008_R2_001	4.3379346257928475	24.012087996517007
qc | fastqc-novaseq | Plate_1_C1_22NG7YLT3_S3_L008_R1_001	3.5264756944444446	25.42317708333333
qc | fastqc-novaseq | Plate_1_C1_22NG7YLT3_S3_L008_R2_001	3.244357638888889	26.41059027777776
qc | fastqc-novaseq | Plate_1_C2_22NG7YLT3_S75_L008_R1_001	4.197815889768396	32.676756571875316
qc | fastqc-novaseq | Plate_1_C2_22NG7YLT3_S75_L008_R2_001	3.883269813348969	31.64699990227694
qc | fastqc-novaseq | Plate_1_C3_22NG7YLT3_S147_L008_R1_001	3.781726325953514	34.82697082557418
qc | fastqc-novaseq | Plate_1_C3_22NG7YLT3_S147_L008_R2_001	3.8610421408372995	33.16521829091662
qc | fastqc-novaseq | Plate_1_C4_22NG7YLT3_S219_L008_R1_001	2.227516297015904	29.793245019927163
qc | fastqc-novaseq | Plate_1_C4_22NG7YLT3_S219_L008_R2_001	3.989893962122955	27.616533532890973
qc | fastqc-novaseq | Plate_1_C5_22NG7YLT3_S291_L008_R1_001	6.028127481002608	38.352047181581
qc | fastqc-novaseq | Plate_1_C5_22NG7YLT3_S291_L008_R2_001	6.215265963479641	39.40115685607347
qc | fastqc-novaseq | Plate_1_C6_22NG7YLT3_S363_L008_R1_001	5.548655549601236	25.21451312927528
qc | fastqc-novaseq | Plate_1_C6_22NG7YLT3_S363_L008_R2_001	5.175424770671122	25.849383727894576
qc | fastqc-novaseq | Plate_1_C7_22NG7YLT3_S435_L008_R1_001	2.9728846782097356	23.55439398889253
qc | fastqc-novaseq | Plate_1_C7_22NG7YLT3_S435_L008_R2_001	3.7569421757595554	22.835674616138522
qc | fastqc-novaseq | Plate_1_C8_22NG7YLT3_S502_L008_R1_001	4.047335937942359	18.366457165505928
qc | fastqc-novaseq | Plate_1_C8_22NG7YLT3_S502_L008_R2_001	3.718362493630032	17.86308816035332
qc | fastqc-novaseq | Plate_1_C9_22NG7YLT3_S566_L008_R1_001	4.083202945237	31.08108605614359
qc | fastqc-novaseq | Plate_1_C9_22NG7YLT3_S566_L008_R2_001	4.2742751955821445	30.683847215830657
qc | fastqc-novaseq | Plate_1_D10_22NG7YLT3_S631_L008_R1_001	5.782931495961449	27.380823922329277
qc | fastqc-novaseq | Plate_1_D10_22NG7YLT3_S631_L008_R2_001	5.269986814505623	26.47231440956093
qc | fastqc-novaseq | Plate_1_D11_22NG7YLT3_S695_L008_R1_001	5.279604687640251	32.71352785549434
qc | fastqc-novaseq | Plate_1_D11_22NG7YLT3_S695_L008_R2_001	4.8373428996977035	31.714749514303143
qc | fastqc-novaseq | Plate_1_D12_22NG7YLT3_S759_L008_R1_001	5.555421110902722	32.836728396929026
qc | fastqc-novaseq | Plate_1_D12_22NG7YLT3_S759_L008_R2_001	5.194689301768418	33.38274174324969
qc | fastqc-novaseq | Plate_1_D1_22NG7YLT3_S4_L008_R1_001	5.483181648494523	36.28206943604136
qc | fastqc-novaseq | Plate_1_D1_22NG7YLT3_S4_L008_R2_001	5.131109766615605	35.19994722139978
qc | fastqc-novaseq | Plate_1_D2_22NG7YLT3_S76_L008_R1_001	5.122331195903771	31.7297498150629
qc | fastqc-novaseq | Plate_1_D2_22NG7YLT3_S76_L008_R2_001	4.605870942889382	30.23832169167153
qc | fastqc-novaseq | Plate_1_D3_22NG7YLT3_S148_L008_R1_001	5.067322087789368	35.98655346347476
qc | fastqc-novaseq | Plate_1_D3_22NG7YLT3_S148_L008_R2_001	4.5829086588087655	34.76284061335191
qc | fastqc-novaseq | Plate_1_D4_22NG7YLT3_S220_L008_R1_001	2.5341624693227103	38.040866516755386
qc | fastqc-novaseq | Plate_1_D4_22NG7YLT3_S220_L008_R2_001	4.424893946062775	35.417990378505934
qc | fastqc-novaseq | Plate_1_D5_22NG7YLT3_S292_L008_R1_001	4.918784696411343	27.524633463551964
qc | fastqc-novaseq | Plate_1_D5_22NG7YLT3_S292_L008_R2_001	4.8128173090610025	27.214639315482316
qc | fastqc-novaseq | Plate_1_D6_22NG7YLT3_S364_L008_R1_001	6.314594228690591	29.485648153202828
qc | fastqc-novaseq | Plate_1_D6_22NG7YLT3_S364_L008_R2_001	5.769780873666627	29.807295476629797
qc | fastqc-novaseq | Plate_1_D7_22NG7YLT3_S436_L008_R1_001	25.155228758169933	40.58278867102397
qc | fastqc-novaseq | Plate_1_D7_22NG7YLT3_S436_L008_R2_001	22.796840958605667	42.388344226579505
qc | fastqc-novaseq | Plate_1_D8_22NG7YLT3_S503_L008_R1_001	4.987314005432148	22.34853299064672
qc | fastqc-novaseq | Plate_1_D8_22NG7YLT3_S503_L008_R2_001	4.418680185841583	21.15430782483443
qc | fastqc-novaseq | Plate_1_D9_22NG7YLT3_S567_L008_R1_001	4.940610270597558	34.32319460479207
qc | fastqc-novaseq | Plate_1_D9_22NG7YLT3_S567_L008_R2_001	5.088378848261724	33.44982195735933
qc | fastqc-novaseq | Plate_1_E10_22NG7YLT3_S632_L008_R1_001	4.9199298118492525	23.460308276307714
qc | fastqc-novaseq | Plate_1_E10_22NG7YLT3_S632_L008_R2_001	4.607381652125246	23.44895272033159
qc | fastqc-novaseq | Plate_1_E11_22NG7YLT3_S696_L008_R1_001	4.969715370536833	28.69304468411365
qc | fastqc-novaseq | Plate_1_E11_22NG7YLT3_S696_L008_R2_001	4.807162557929694	29.265646774273343
qc | fastqc-novaseq | Plate_1_E12_22NG7YLT3_S760_L008_R1_001	5.575106657267159	16.70397447527994
qc | fastqc-novaseq | Plate_1_E12_22NG7YLT3_S760_L008_R2_001	5.692366457237387	18.656104390712454
qc | fastqc-novaseq | Plate_1_E1_22NG7YLT3_S5_L008_R1_001	5.166503622756158	35.310061797618744
qc | fastqc-novaseq | Plate_1_E1_22NG7YLT3_S5_L008_R2_001	5.082993327129711	35.813827714283455
qc | fastqc-novaseq | Plate_1_E2_22NG7YLT3_S77_L008_R1_001	5.6684712361613245	19.051008748103325
qc | fastqc-novaseq | Plate_1_E2_22NG7YLT3_S77_L008_R2_001	5.279302399640335	18.54569806867355
qc | fastqc-novaseq | Plate_1_E3_22NG7YLT3_S149_L008_R1_001	4.451626770261987	33.89449676397302
qc | fastqc-novaseq | Plate_1_E3_22NG7YLT3_S149_L008_R2_001	4.103544902361941	33.515965195793555
qc | fastqc-novaseq | Plate_1_E4_22NG7YLT3_S221_L008_R1_001	2.6273726079702926	36.946359104036404
qc | fastqc-novaseq | Plate_1_E4_22NG7YLT3_S221_L008_R2_001	4.514194376630212	35.90982098984824
qc | fastqc-novaseq | Plate_1_E5_22NG7YLT3_S293_L008_R1_001	4.978042701341176	24.97487768531827
qc | fastqc-novaseq | Plate_1_E5_22NG7YLT3_S293_L008_R2_001	5.163196138680452	24.233472681955448
qc | fastqc-novaseq | Plate_1_E6_22NG7YLT3_S365_L008_R1_001	5.1689400430745005	28.350689217737234
qc | fastqc-novaseq | Plate_1_E6_22NG7YLT3_S365_L008_R2_001	4.865565873879715	29.470780615960223
qc | fastqc-novaseq | Plate_1_E7_22NG7YLT3_S437_L008_R1_001	6.237194792139037	27.27516103829405
qc | fastqc-novaseq | Plate_1_E7_22NG7YLT3_S437_L008_R2_001	11.192639498227077	22.96059137523152
qc | fastqc-novaseq | Plate_1_E8_22NG7YLT3_S504_L008_R1_001	3.9294577038172394	18.607674622290347
qc | fastqc-novaseq | Plate_1_E8_22NG7YLT3_S504_L008_R2_001	3.6703525290124808	18.319830669294216
qc | fastqc-novaseq | Plate_1_E9_22NG7YLT3_S568_L008_R1_001	3.985979262549788	36.4720706482856
qc | fastqc-novaseq | Plate_1_E9_22NG7YLT3_S568_L008_R2_001	4.205954275096906	35.88262304184864
qc | fastqc-novaseq | Plate_1_F10_22NG7YLT3_S633_L008_R1_001	6.118060168046931	27.302516988160555
qc | fastqc-novaseq | Plate_1_F10_22NG7YLT3_S633_L008_R2_001	5.723488947825562	27.09489681695519
qc | fastqc-novaseq | Plate_1_F11_22NG7YLT3_S697_L008_R1_001	4.895633671549405	34.16623437142807
qc | fastqc-novaseq | Plate_1_F11_22NG7YLT3_S697_L008_R2_001	4.552398579140802	31.360015474704117
qc | fastqc-novaseq | Plate_1_F12_22NG7YLT3_S761_L008_R1_001	5.958942701060729	29.589112046670643
qc | fastqc-novaseq | Plate_1_F12_22NG7YLT3_S761_L008_R2_001	5.605483172176786	30.032686257423524
qc | fastqc-novaseq | Plate_1_F1_22NG7YLT3_S6_L008_R1_001	4.517754868270332	27.793814432989663
qc | fastqc-novaseq | Plate_1_F1_22NG7YLT3_S6_L008_R2_001	4.16036655211913	29.397479954180945
qc | fastqc-novaseq | Plate_1_F2_22NG7YLT3_S78_L008_R1_001	5.456244730167652	29.43317767927588
qc | fastqc-novaseq | Plate_1_F2_22NG7YLT3_S78_L008_R2_001	4.99537778560375	29.023442923271233
qc | fastqc-novaseq | Plate_1_F3_22NG7YLT3_S150_L008_R1_001	5.467524850280917	35.446070259924674
qc | fastqc-novaseq | Plate_1_F3_22NG7YLT3_S150_L008_R2_001	5.041365685003395	34.78391060072853
qc | fastqc-novaseq | Plate_1_F4_22NG7YLT3_S222_L008_R1_001	2.83648029763329	39.14524787609395
qc | fastqc-novaseq | Plate_1_F4_22NG7YLT3_S222_L008_R2_001	4.6468132142171115	37.01780340431553
qc | fastqc-novaseq | Plate_1_F5_22NG7YLT3_S294_L008_R1_001	4.880339437315089	37.60574934944893
qc | fastqc-novaseq | Plate_1_F5_22NG7YLT3_S294_L008_R2_001	4.906138752055593	36.59066695868768
qc | fastqc-novaseq | Plate_1_F6_22NG7YLT3_S366_L008_R1_001	6.065185358041466	28.895868658221936
qc | fastqc-novaseq | Plate_1_F6_22NG7YLT3_S366_L008_R2_001	5.616727859881026	29.564885194504093
qc | fastqc-novaseq | Plate_1_F7_22NG7YLT3_S438_L008_R1_001	3.5429126091993615	32.885837743056626
qc | fastqc-novaseq | Plate_1_F7_22NG7YLT3_S438_L008_R2_001	5.859974324451263	28.286939912953628
qc | fastqc-novaseq | Plate_1_F8_22NG7YLT3_S505_L008_R1_001	4.8569636740797915	23.931689903034396
