Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_1_B2_22NG7YLT3_S74_L008_R1_001	77549.0	168501.0
qc | fastqc-novaseq | Plate_1_B2_22NG7YLT3_S74_L008_R2_001	83864.0	162186.0
qc | fastqc-novaseq | Plate_1_B3_22NG7YLT3_S146_L008_R1_001	148185.0	382653.0
qc | fastqc-novaseq | Plate_1_B3_22NG7YLT3_S146_L008_R2_001	159326.0	371512.0
qc | fastqc-novaseq | Plate_1_B4_22NG7YLT3_S218_L008_R1_001	138071.0	331070.0
qc | fastqc-novaseq | Plate_1_B4_22NG7YLT3_S218_L008_R2_001	139080.0	330061.0
qc | fastqc-novaseq | Plate_1_B5_22NG7YLT3_S290_L008_R1_001	134526.0	331318.0
qc | fastqc-novaseq | Plate_1_B5_22NG7YLT3_S290_L008_R2_001	143584.0	322260.0
qc | fastqc-novaseq | Plate_1_B6_22NG7YLT3_S362_L008_R1_001	149098.0	320758.0
qc | fastqc-novaseq | Plate_1_B6_22NG7YLT3_S362_L008_R2_001	150089.0	319767.0
qc | fastqc-novaseq | Plate_1_B7_22NG7YLT3_S434_L008_R1_001	79219.0	139534.0
qc | fastqc-novaseq | Plate_1_B7_22NG7YLT3_S434_L008_R2_001	81315.0	137438.0
qc | fastqc-novaseq | Plate_1_B8_22NG7YLT3_S501_L008_R1_001	69748.0	113451.0
qc | fastqc-novaseq | Plate_1_B8_22NG7YLT3_S501_L008_R2_001	77615.0	105584.0
qc | fastqc-novaseq | Plate_1_B9_22NG7YLT3_S565_L008_R1_001	310506.0	354368.0
qc | fastqc-novaseq | Plate_1_B9_22NG7YLT3_S565_L008_R2_001	308467.0	356407.0
qc | fastqc-novaseq | Plate_1_C10_22NG7YLT3_S630_L008_R1_001	93843.0	166959.0
qc | fastqc-novaseq | Plate_1_C10_22NG7YLT3_S630_L008_R2_001	97719.0	163083.0
qc | fastqc-novaseq | Plate_1_C11_22NG7YLT3_S694_L008_R1_001	139270.0	312866.0
qc | fastqc-novaseq | Plate_1_C11_22NG7YLT3_S694_L008_R2_001	146300.0	305836.0
qc | fastqc-novaseq | Plate_1_C12_22NG7YLT3_S758_L008_R1_001	168101.0	300463.0
qc | fastqc-novaseq | Plate_1_C12_22NG7YLT3_S758_L008_R2_001	176125.0	292439.0
qc | fastqc-novaseq | Plate_1_C1_22NG7YLT3_S3_L008_R1_001	5597.0	3619.0
qc | fastqc-novaseq | Plate_1_C1_22NG7YLT3_S3_L008_R2_001	5557.0	3659.0
